"over_text","spread_text","game_id"
Over/Under: 50.5,Line: DET -3.5,"401671698"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 41.5,Line: BAL -20.5,"401671834"
Over/Under: 48.5,Line: CIN -2.5,"401671836"
Over/Under: 48.5,Line: ATL -7.5,"401671827"
Over/Under: 43.5,Line: WSH -7.5,"401671840"
Over/Under: 41.5,Line: GB -10.5,"401671844"
Over/Under: 36.5,Line: TEN -2.5,"401671826"
Over/Under: 45.5,Line: IND -3.5,"401671837"
Over/Under: 36.5,Line: BUF -3.5,"401671831"
Over/Under: 35.5,Line: PHI -2.5,"401671841"
Over/Under: 44.5,Line: TB -14.5,"401671828"
Over/Under: 40.5,Line: DEN -11.5,"401671838"
Over/Under: 41.5,Line: LAC -6.5,"401671839"
Over/Under: 38.5,Line: SEA -7.5,"401671830"
Over/Under: 39.5,Line: NYJ -2.5,"401671833"
Over/Under: 42.5,Line: ARI -4.5,"401671845"
Over/Under: 56.5,Line: DET -2.5,"401671843"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 48.5,Line: SF -3.5,"401671819"
Over/Under: 44.5,Line: JAX -1.5,"401671802"
Over/Under: 46.5,Line: GB -6.5,"401671722"
Over/Under: 41.5,Line: TEN -2.5,"401671820"
Over/Under: 39.5,Line: HOU -6.5,"401671619"
Over/Under: 42.5,Line: TB -3.5,"401671735"
Over/Under: 42.5,Line: PHI -8.5,"401671714"
Over/Under: 50.5,Line: BAL -7.5,"401671625"
Over/Under: 37.5,Line: LAC -2.5,"401671655"
Over/Under: 36.5,Line: PIT -3.5,"401671657"
Over/Under: 52.5,Line: DET -3.5,"401671764"
Over/Under: 45.5,Line: ATL -6.5,"401671769"
Over/Under: 45.5,Line: CIN -4.5,"401671791"
Over/Under: 42.5,Line: BUF -1.5,"401671684"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 37.5,Line: DEN -2.5,"401671816"
Over/Under: 41.5,Line: JAX -6.5,"401671801"
Over/Under: 51.5,Line: ATL -2.5,"401671730"
Over/Under: 41.5,Line: BUF -9.5,"401671616"
Over/Under: 42.5,Line: CIN -5.5,"401671853"
Over/Under: 47.5,Line: GB -3.5,"401671644"
Over/Under: 43.5,Line: IND -3.5,"401671864"
Over/Under: 50.5,Line: MIN -1.5,"401671724"
Over/Under: 42.5,Line: PHI -3.5,"401671710"
Over/Under: 43.5,Line: LAR -7.5,"401671663"
Over/Under: 50.5,Line: WSH -10.5,"401671640"
Over/Under: 47.5,Line: SF -2.5,"401671777"
Over/Under: 40.5,Line: NYJ -2.5,"401671785"
Over/Under: 50.5,Line: BAL -4.5,"401671695"
Over/Under: 44.5,Line: LAC -1.5,"401671699"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 46.5,Line: MIN -2.5,"401671817"
Over/Under: 47.5,Line: CIN -2.5,"401671667"
Over/Under: 44.5,Line: BAL -7.5,"401671852"
Over/Under: 46.5,Line: DET -12.5,"401671720"
Over/Under: 46.5,Line: MIA -4.5,"401671850"
Over/Under: 41.5,Line: NYJ -7.5,"401671618"
Over/Under: 47.5,Line: ATL -0.5,"401671739"
Over/Under: 49.5,Line: GB -3.5,"401671707"
Over/Under: 45.5,Line: HOU -4.5,"401671856"
Over/Under: 41.5,Line: LAC -7.5,"401671750"
Over/Under: 45.5,Line: BUF -3.5,"401671760"
Over/Under: 40.5,Line: DEN -12.5,"401671600"
Over/Under: 42.5,Line: KC -8.5,"401671671"
Over/Under: 46.5,Line: WSH -1.5,"401671599"
Over/Under: 47.5,Line: SF -5.5,"401671795"
Over/Under: 37.5,Line: PIT -6.5,"401671685"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 43.5,Line: NYJ -2.5,"401671809"
Over/Under: 51.5,Line: ATL -3.5,"401671728"
Over/Under: 49.5,Line: BUF -6.5,"401671493"
Over/Under: 44.5,Line: CIN -7.5,"401671704"
Over/Under: 41.5,Line: LAC -1.5,"401671629"
Over/Under: 38.5,Line: TEN -3.5,"401671822"
Over/Under: 42.5,Line: WSH -3.5,"401671711"
Over/Under: 43.5,Line: NO -7.5,"401671650"
Over/Under: 46.5,Line: BAL -8.5,"401671623"
Over/Under: 46.5,Line: PHI -7.5,"401671797"
Over/Under: 44.5,Line: ARI -1.5,"401671661"
Over/Under: 48.5,Line: DET -2.5,"401671767"
Over/Under: 48.5,Line: LAR -2,"401671776"
Over/Under: 46.5,Line: MIN -5.5,"401671647"
Over/Under: 45.5,Line: KC -8.5,"401671688"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 52.5,Line: BAL -5.5,"401671810"
Over/Under: 40.5,Line: NYG -6.5,"401671803"
Over/Under: 37.5,Line: CHI -6.5,"401671873"
Over/Under: 46.5,Line: BUF -4.5,"401671863"
Over/Under: 41.5,Line: KC -7.5,"401671637"
Over/Under: 47.5,Line: ATL -4.5,"401671733"
Over/Under: 50.5,Line: SF -6.5,"401671742"
Over/Under: 45.5,Line: WSH -1.5,"401671641"
Over/Under: 42.5,Line: MIN -7.5,"401671708"
Over/Under: 40.5,Line: LAC -8.5,"401671751"
Over/Under: 44.5,Line: PHI -7.5,"401671676"
Over/Under: 46.5,Line: NYJ -1.5,"401671678"
Over/Under: 49.5,Line: DET -4.5,"401671787"
Over/Under: 50.5,Line: LAR -2.5,"401671693"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 49.5,Line: PHI -4.5,"401671813"
Over/Under: 41.5,Line: GB -6.5,"401671869"
Over/Under: 47.5,Line: DET -14.5,"401671642"
Over/Under: 40.5,Line: MIN -5.5,"401671824"
Over/Under: 43.5,Line: MIA -8.5,"401671851"
Over/Under: 42.5,Line: LAR -4.5,"401671701"
Over/Under: 43.5,Line: CLE -1.5,"401671746"
Over/Under: 43.5,Line: NYJ -4.5,"401671782"
Over/Under: 49.5,Line: BAL -3.5,"401671630"
Over/Under: 44.5,Line: DEN -1.5,"401671748"
Over/Under: 48.5,Line: SF -6.5,"401671757"
Over/Under: 47.5,Line: BUF -2.5,"401671665"
Over/Under: 48.5,Line: LAC -0.5,"401671675"
Over/Under: 41.5,Line: HOU -7.5,"401671694"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 36.5,Line: PIT -3.5,"401671875"
Over/Under: 39.5,Line: MIN -2.5,"401671870"
Over/Under: 49.5,Line: DET -6.5,"401671866"
Over/Under: 45.5,Line: MIA -7.5,"401671847"
Over/Under: 40.5,Line: TB -6.5,"401671638"
Over/Under: 44.5,Line: WSH -10.5,"401671715"
Over/Under: 42.5,Line: KC -11.5,"401671651"
