name,id,team,position,height,weight,age,college,jersey,experience
Jason Sanders,3124679,Miami Dolphins,PK,"5' 11""",195 lbs,29,New Mexico,7,7
Ryan Stonehouse,4256051,Miami Dolphins,P,"5' 10""",193 lbs,25,Colorado State,na,4
Andrew DePaola,15726,Minnesota Vikings,LS,"6' 1""",229 lbs,37,Rutgers,42,10
Will Reichard,4567104,Minnesota Vikings,PK,"6' 1""",187 lbs,24,Alabama,16,0
Ryan Wright,4361823,Minnesota Vikings,P,"6' 3""",245 lbs,24,Tulane,17,3
Bryce Baringer,4240545,New England Patriots,P,"6' 2""",215 lbs,25,Michigan State,17,2
Joe Cardona,2575907,New England Patriots,LS,"6' 2""",245 lbs,32,Navy,49,10
John Parker Romo,4051167,New England Patriots,PK,"5' 11""",190 lbs,27,Virginia Tech,11,1
Blake Grupe,4259619,New Orleans Saints,PK,"5' 7""",156 lbs,26,Notre Dame,19,2
Matthew Hayball,4571597,New Orleans Saints,P,"6' 0""",189 lbs,28,Vanderbilt,43,0
Charlie Smyth,5208518,New Orleans Saints,PK,"6' 4""",210 lbs,23,na,39,0
Zach Wood,2575788,New Orleans Saints,LS,"6' 3""",255 lbs,32,SMU,49,8
Graham Gano,12460,New York Giants,PK,"6' 2""",202 lbs,37,Florida State,9,15
Jamie Gillan,3936185,New York Giants,P,"6' 1""",207 lbs,27,Arkansas-Pine Bluff,6,6
Casey Kreiter,17304,New York Giants,LS,"6' 1""",250 lbs,34,Iowa,59,9
Jude McAtamney,5092436,New York Giants,PK,"6' 2""",205 lbs,24,Rutgers,99,0
Anders Carlson,4242519,New York Jets,PK,"6' 5""",220 lbs,26,Auburn,18,2
Thomas Hennessy,2983155,New York Jets,LS,"6' 2""",246 lbs,30,Duke,42,8
Austin McNamara,4427982,New York Jets,P,"6' 5""",204 lbs,24,Texas Tech,na,0
Thomas Morstead,12701,New York Jets,P,"6' 4""",225 lbs,39,SMU,6,16
Greg Zuerlein,14993,New York Jets,PK,"6' 0""",195 lbs,37,Mo Western,9,13
Jake Elliott,3050478,Philadelphia Eagles,PK,"5' 9""",167 lbs,30,Memphis,4,8
Charley Hughlett,15379,Philadelphia Eagles,LS,"6' 4""",248 lbs,34,UCF,na,10
Braden Mann,4035239,Philadelphia Eagles,P,"5' 11""",198 lbs,27,Texas A&M,10,5
Chris Boswell,17372,Pittsburgh Steelers,PK,"6' 2""",185 lbs,34,Rice,9,10
Cameron Johnston,3051397,Pittsburgh Steelers,P,"5' 11""",194 lbs,33,Ohio State,5,7
Christian Kuntz,2978524,Pittsburgh Steelers,LS,"6' 1""",228 lbs,30,Duquesne,46,4
Corliss Waitman,3125280,Pittsburgh Steelers,P,"6' 2""",210 lbs,29,Mississippi State,8,2
Jake Moody,4372066,San Francisco 49ers,PK,"6' 1""",210 lbs,25,Michigan,4,2
Jon Weeks,13729,San Francisco 49ers,LS,"5' 10""",242 lbs,39,Baylor,na,6
Mitch Wishnowsky,4035685,San Francisco 49ers,P,"6' 2""",220 lbs,33,Utah,3,6
Michael Dickson,3929851,Seattle Seahawks,P,"6' 2""",208 lbs,29,Texas,4,7
Jason Myers,2473037,Seattle Seahawks,PK,"5' 10""",190 lbs,33,Marist,5,10
Chris Stoll,4259606,Seattle Seahawks,LS,"6' 2""",255 lbs,26,Penn State,41,2
Evan Deckers,4361727,Tampa Bay Buccaneers,LS,"6' 3""",252 lbs,26,Duke,86,1
Riley Dixon,2577619,Tampa Bay Buccaneers,P,"6' 4""",221 lbs,31,Syracuse,na,9
Jake Julien,4244814,Tampa Bay Buccaneers,P,"6' 2""",217 lbs,26,Eastern Michigan,na,0
Chase McLaughlin,3150744,Tampa Bay Buccaneers,PK,"6' 0""",190 lbs,28,Illinois,4,6
Morgan Cox,13848,Tennessee Titans,LS,"6' 4""",233 lbs,38,Tennessee,46,15
Johnny Hekker,15153,Tennessee Titans,P,"6' 5""",225 lbs,35,Oregon State,na,13
Joey Slye,3124084,Tennessee Titans,PK,"5' 11""",213 lbs,28,Virginia Tech,na,6
Zane Gonzalez,3043234,Washington Commanders,PK,"6' 0""",202 lbs,29,Arizona State,47,7
Tyler Ott,17378,Washington Commanders,LS,"6' 3""",252 lbs,33,Harvard,69,10
Tress Way,16166,Washington Commanders,P,"6' 1""",220 lbs,34,Oklahoma,10,11
