"game_id","ref1","ref2","ref3","ref4","ref5","ref6","ref7"
"401671675",Rick Patterson,Brad Allen,Chad Hill,Daniel Gallagher,Duane Heydt,Walter Flowers,Tyree Walton
"401671675",Rick Patterson,Brad Allen,Chad Hill,Daniel Gallagher,Duane Heydt,Walter Flowers,Tyree Walton
"401671694",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671694",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671834",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Daniel Gallagher
"401671834",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Daniel Gallagher
"401671836",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
"401671836",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
"401671827",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671827",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671840",Clete Blakeman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell,Karina Tovar
"401671840",Clete Blakeman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell,Karina Tovar
"401671844",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671844",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671826",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671826",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671837",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671837",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671831",Derick Bowers,Greg Meyer,Tab Slaughter,Gary Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671831",Derick Bowers,Greg Meyer,Tab Slaughter,Gary Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671841",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671841",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671828",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671828",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671838",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671838",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671839",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Robin DeLorenzo,Brandon Cruse
"401671839",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Robin DeLorenzo,Brandon Cruse
"401671830",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671830",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671833",Pat Turner,Steve Woods,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671833",Pat Turner,Steve Woods,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671845",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671845",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671843",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671843",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671814",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
